species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Inocybe hirtella,50.997190625,20.013625,12.71143625,0.5847899999999999,206.8753531250001,135.181225,113.094475,1.9625006250000008,0.1549605412300736,564.3976614532841,175.86227777993815,0.0,16.057873126279873,9.46952847793903,53.84980021206996,489.1377237303316,0.0841516303477693,132.96552364385144,3.4234885259035317,0.8068485867444429,3494.5513822910307,891.3636140721256,898.0419563808772,831.7226000853431,171.5933356425884,77.50496460073187,770.5260767960658,0.5317597524573439,843.2872994109445,41.94680330223246,316,648,158154.971857517,LC
Cortinarius rubellus,34.379475,40.0166425,18.7032075,0.73975,152.658125,118.0484325,72.00872499999996,2.2037299999999997,0.1876091748845541,325.1643915486312,101.52296832729178,0.0,52.98926070449127,27.33276902977773,24.4319226952816,546.0478315288395,0.0685489906972726,66.09841847886439,6.8625836455600275,0.8207562131666569,3141.670916447511,854.2741548034818,900.0,776.1089236933879,289.145336696864,72.81356722584893,910.7252074062218,0.4861274434551167,967.6955753807568,43.69966470891728,2286,4492,342920.025928428,LC
Tetramelas triphragmioides,32.98469375,10.57345375,14.895265625,0.73698875,186.00475624999993,72.325299375,59.083718124999955,1.7392193749999991,-0.0341932006898477,24.876981428132435,8.529786012608747,0.0,16.347195415523736,584.7910420588524,-5.0915334379420205,614.1932037753486,0.0395554801130579,3.0892440132394143,25.87089470451896,0.7822089923915323,1095.1857625190828,94.27845050513956,18.702302028829273,693.6842498895904,873.307862807794,14.943001252629898,845.1106739322963,0.2979287513613319,514.8428043568449,82.71259031757651,22,80,7932.47469999512,LC
Calloria urticae,48.095355,6.82735,11.44775,0.5829000000000001,233.00324999999995,102.12485249999996,70.66302499999999,1.5748274999999994,0.0454219800065,882.2345933107343,193.73217385139444,0.0,110.36784725350928,7.74156092833474,53.880858758417595,521.3597774758504,0.082876990212329,185.27270332212584,3.2351774350962756,0.7133203599440406,5121.640268656846,997.9291655431626,935.073599338423,890.9589535807935,194.23299246907075,79.44351335686513,830.2155290247725,0.5647303211737482,1207.784803355561,35.23626555030517,481,1272,184172.474362461,LC
Mycetinis scorodonius,42.282125,9.73366875,14.2442125,0.46555,222.0523125,106.64550625,80.759975,1.77888125,0.1151167991917891,503.2419426851968,137.04161786341396,0.0,39.55421818109463,7.445591593573583,50.13737540764565,506.88206343908985,0.0848171097447589,115.10318525506428,4.234006489326254,0.809041562675668,4216.708284392571,952.8464415149368,900.0,840.6360808549293,211.151363754615,78.1281693010071,812.1342127636808,0.6149805297463571,1081.9097246100396,41.45553391859468,1823,4408,246368.173964788,LC
Blastenia crenularia,43.57975,8.2365,17.853225,0.00585,232.844875,93.15375,206.951275,1.39755,-0.0753569808715045,548.5443392810564,133.1690984665101,0.0,35.629995514749474,4.36001992780639,56.97838230296664,504.2860425710403,0.1103240297014686,66.43846515969007,3.831718168532265,0.8194796471271736,2866.161561192099,830.7441641119837,883.202923126256,725.169368155043,129.82564472997305,76.73748809329923,863.4070667597678,0.627388464800529,784.2854996156873,42.5131390599757,122,372,119403.349582125,LC
Bovista furfuracea,30.996890000000004,3.7422175,11.51339875,0.447655,244.5466375,89.61018125,72.43657999999999,1.543525,0.1539176547215331,759.909817373636,177.67706053363844,0.0,44.99954221134631,6.613769045061694,54.135407719580414,481.9970980825913,0.0743170207244924,105.39174891023396,3.169034430008929,0.7682009118343827,3967.177649068726,913.516058894828,895.2503466705132,816.0927810127888,210.5383970422687,78.18625173674393,742.2759914381301,0.4814375424668952,1049.3232480713848,27.94974883612047,251,532,143706.350293407,LC
Lecanora caesiosora,44.8032125,17.571535,18.110145,1.0215725,183.29275,98.595865,71.37461750000001,1.7296075,0.0866784489064602,103.26078931300606,13.549012843556811,0.0,27.67085274788804,46.12100641996034,1.0779750445226934,572.1619967386519,0.0936498631679407,7.807100930078054,10.184770737223564,0.8021939669730158,1998.325653705144,512.5652866111266,699.5881359746232,701.4648748474327,786.8238236621308,72.77782586144635,974.6255191547664,0.3925697727687885,634.0099296453043,95.52273396203888,29,104,124994.978923885,LC
Ochrolechia androgyna,36.9903625,16.1661875,16.351893750000002,0.4797625,205.23240625,106.468225,79.48466875,2.15478125,0.0854610137905452,107.36570344643492,22.76351337226142,0.0,28.15785390714352,13.64800960049228,6.427357120316979,514.066224415535,0.0680880885554981,7.272245205547389,6.210273407734627,0.8401726692158749,3760.752208426377,914.0884903475848,900.0,806.7458295532631,654.2300974259322,76.0,922.2212036441928,0.5950511867362376,1076.3440116360175,66.1347744530591,861,2212,405076.428451219,LC
Micarea nitschkeana,41.629887499999995,6.266545625,17.52409,1.049411875,238.358825,114.97634,78.14874812499998,2.426608749999999,0.1778079285807136,322.2782935174434,15.84389886808166,0.0,78.67795904637039,16.206690786246803,11.25372416842059,506.3593396432297,0.0673406299616386,51.98722769191274,4.298794921268287,0.8182730327742359,1949.6418307665217,594.9371509937489,689.7160528077551,602.1316170367656,629.9044019103536,77.06771116684082,947.4981696162616,0.3463551545132197,685.3146297732567,87.32089257953268,20,76,176902.612043828,LC
Inosperma calamistratum,34.80364375,16.89011125,18.2900875,0.568255,177.12391874999946,123.22207124999996,63.72560499999997,2.0470224999999993,0.2644932984051754,175.62421788344176,25.84065167370581,0.0,22.802844956966585,28.088179758862108,1.9191693980234896,554.1019407958946,0.0798423984258691,23.50893044118035,8.787452953368199,0.856613066363572,2655.7519756278853,823.5581180985896,900.0,674.0052770849836,688.5018798546987,72.22618148984128,920.6165428785428,0.4935905227670787,892.461928675902,80.91918772688881,200,560,404446.979070247,LC
Iodophanus carneus,39.8931675,13.076935,20.98801,0.6690175,213.3331625,98.96567749999998,67.549495,2.405115,0.1724718888816646,950.2049525527724,218.60527706677013,13.20721657178328,98.9353572369292,6.62563041306857,33.65452897158945,541.8081937066746,0.1149747777423328,97.5019125413454,3.5563766360114273,0.746519553096735,5467.896290771285,998.8651504781774,919.2357293395672,865.4009861959036,287.7539381607696,79.94701980782425,765.4750534395995,0.415363646146305,829.9195104356982,46.815293238953785,13,44,112936.276044856,LC
Biatora meiocarpa,40.78849375,4.376656250000001,19.205205,0.62873875,238.2940625,94.31151375,83.26292124999989,2.0135575,0.2950827823288809,82.82001703555446,12.33485275553378,0.0,28.016448960624945,47.33466796848816,-21.886924041114113,467.9897365578494,0.0737000261382505,9.200487925090812,12.8390872299716,0.7927728363550205,2630.4698607342893,589.6380095342569,624.4484266371761,796.8247300678868,771.311708708848,62.19515253605308,978.6868084340804,0.3801290994721848,842.5243627659174,104.07875350985476,36,144,268131.947911072,LC
