species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Mycena vitilis,43.4802725,13.31625,12.84301125,0.52077,2.988775,219.65481249999976,120.52635374999994,69.23783874999997,1.6487762499999992,71.327355,0.1387749266410912,531.0631601762856,173.66874881337566,0.0,27.318137532657545,9.570130679657366,54.07034175207456,513.3532060570441,0.0796988668375338,112.23125082144948,3.627521671599912,0.8230979836001244,4168.86231687026,936.6198386012388,900.0,842.9978324173356,189.75151742793773,78.22922590583775,818.5680741530726,0.609226297946952,1081.4540116820765,45.768174003551934,1955,3984,186572.870216017,LC
Peniophorella pubera,34.121865,10.872689375,19.42567125,0.287995,2.6725325,224.32704687499992,161.98398562499997,87.55419312499997,1.431083749999999,72.32035937499995,-0.290449470570177,567.206890497653,171.64119785924254,0.0,15.326610185726707,6.602654803376705,51.41834871076382,551.8273591412996,0.0498676610699654,159.88805964638905,3.4845752344969183,0.818470244907304,4218.768257936209,999.6834686688428,969.592108303948,801.619037385426,167.65493394785335,78.26860537514413,882.9103720900564,0.6809806327786995,1032.350281782085,42.421374173500105,82,264,94486.8705914663,LC
Strangospora pinicola,37.0372925,25.94865,16.47625,0.59511875,6.10281875,183.06318125,91.21546874999996,67.93073999999996,1.6661237499999997,64.92067374999995,-0.019616694894288,387.118458128276,117.14059160122092,0.0,22.492348442242857,10.052925983546386,45.005734179520296,515.2641764890163,0.0758117145368015,139.64373865713884,5.394150822012172,0.7724553769199296,4692.424490827192,999.813050648547,919.146268966,871.677396051872,215.27427234787083,75.97477336183032,897.9871541139204,0.579115524443172,1206.8536989050838,28.514522117720524,27,100,110851.317943271,LC
Erysiphe alphitoides,57.146865625,15.0205,14.385186875,0.612835,3.542175,205.91929375,95.723384375,62.19333812499999,1.3355249999999996,68.1857574999998,0.0867184298289782,1169.922346296416,176.10160665088594,0.0,464.0276377485295,8.288431391030556,55.11690570732343,503.06918346537424,0.068730325651185,204.02291238747796,2.89415675005639,0.7770013748158021,4735.145995301244,999.1092896355536,905.1465975921924,899.8793478541396,153.48880509647023,78.81269050683275,841.4399609780078,0.4671418176398283,1311.0834847837657,25.150633312661316,54,188,106760.015534361,
Bulgariella pulla,33.129290625,63.498220625,20.45677375,0.526990625,13.2076925,139.118571875,108.617106875,55.419504375,1.3520375,22.368883125,0.2346606984924768,465.06457589707225,144.15011004577798,0.0,250.0769570399744,123.52433898004324,49.05443906293571,782.6237562722634,0.0581091636616418,78.32506136824946,16.871475297466706,0.8323709389035479,1026.5104697086192,237.82341819874543,0.0,557.5250684124159,236.22601549954624,60.01633554028328,813.5172579441601,0.4424826533750044,279.00460335875425,28.586315348072137,18,40,495.642453807487,LC
Biatora cuprea,41.906805000000006,0.3711900000000001,5.7732,0.0,0.001665,254.996325,39.51631499999996,255.0,1.5485749999999996,26.158504999999955,0.1501141178587213,10.957574698719808,6.930144970118195,0.0,3.211069674898952,673.0370907722337,-40.43866294936102,559.6776607430202,0.0801487678513815,2.825841583103205,35.125416573686465,0.7678292639415718,824.8845651788325,144.14959513190104,65.49145928800847,718.0058692705713,1311.9540875802145,13.103215949480376,1052.3975269319706,0.3306496745647819,440.7661142382015,204.35179522276,25,72,71562.0202888806,LC
Cetraria muricata,32.178440625,11.906823125,14.22743625,0.392634375,2.942883125,217.3737656249997,106.362245,86.25141624999988,1.8314168749999984,59.40544374999994,0.109224927384763,200.97616221649432,100.85818215512708,0.0,73.515762412036,6.688568337863467,19.118334341067285,502.7401873377069,0.0716834521428292,37.487436219632855,4.382636012951807,0.7725103153250937,3876.515660213444,974.7274904771372,900.0,833.6747093411592,499.8466401121456,76.9802975238363,774.7425991508335,0.4779366110198485,1030.5903849318065,48.95498500226814,144,440,355359.277016832,LC
Proliferodiscus tricolor,49.8817125,25.3536375,18.28869375,0.58965,5.50803125,189.27184375,84.77278125000001,74.57849375,1.50469375,71.412825,-0.0042279007536805,1042.649584888976,183.79864483608264,0.0,324.8837080700709,9.957191885890005,56.15308683117432,511.4810428820604,0.0924977923726944,327.0266049773297,5.669088555401577,0.6352601185901308,4387.530580132494,986.8679145698268,900.5962030475831,837.7351358091589,127.64104104842546,70.95777226824852,900.5427218502613,0.5408484728163596,1389.3620645416702,29.16649442206317,215,364,90953.6695846919,LC
Chamaemyces fracidus,41.9787525,30.29898125,7.97569875,0.558965,5.95878,172.74351249999998,94.465295,62.51701875,1.1879149999999998,88.51344624999999,0.3323561488545856,426.40579684180784,157.30191436440347,0.0,89.39727317266397,7.270724582472743,70.18834065367784,483.56033627705193,0.0775993291468037,85.01990365876492,3.659477494742355,0.7942795976266512,2067.034163152687,512.373641238035,666.2825081779299,729.5633791068358,61.205831177051735,74.26352772385974,538.1995070925899,0.482762864507107,555.0271152175646,15.7771380044152,62,120,4003.39893035382,EN
Stereocaulon tornense,75.367,0.4643925000000001,13.036640000000002,0.241875,0.0154275,254.9356875,65.65693249999995,199.9323299999999,2.20371,14.408502499999994,0.3270223220312892,117.3937872985724,9.348945105546733,0.0,34.46704066772919,446.5471307689002,-17.185559283710504,624.3128882359485,0.0946871021743825,23.653880734035997,34.82438441217005,0.7753905243437362,973.0433948631596,78.26784165268455,47.64559529429975,728.066994536106,791.6427521902469,23.1660496028721,1045.0006621487453,0.2212776444680481,547.8184952821586,159.90725540614133,13,44,56356.6872079035,LC
