species,biomass_min,treeheight_min,soilmoisture_min,peatmap_min,groundcover_min,biomass_max,treeheight_max,soilmoisture_max,peatmap_max,groundcover_max,s2_NDVI_mean_min,hii_hii_mean_min,hii_population_density_mean_min,hii_power_mean_min,hii_roads_mean_min,dem_b1_mean_min,bioclim_bio01_mean_min,bioclim_bio12_mean_min,s2_NDVI_std_min,hii_hii_std_min,dem_b1_std_min,s2_NDVI_mean_max,hii_hii_mean_max,hii_population_density_mean_max,hii_power_mean_max,hii_roads_mean_max,dem_b1_mean_max,bioclim_bio01_mean_max,bioclim_bio12_mean_max,s2_NDVI_std_max,hii_hii_std_max,dem_b1_std_max,n_occ,AOO2km,EOOkm2,RedListCategory
Agaricus augustus,35.828945625,14.41988375,13.7683075,0.49638875,3.3091375,213.6277875,101.575076875,78.18589937499999,1.4979762499999996,68.34450624999998,0.1330922552291653,664.5728900081839,170.40330365463245,0.0,38.50415663690112,7.914500794272086,50.59342868846874,507.5443740057434,0.0771177094728457,153.28428440398662,3.737121385448362,0.7991040986655504,5339.673694159708,1000.0,964.445458958489,888.459815094443,202.1359544735064,79.10924412046758,757.4504889410427,0.5480819193482462,1142.1316676079089,42.15411402634008,868,2176,261977.690620294,LC
Agaricus benesii,57.08504,2.528425,15.366125,0.54425,0.772945,247.390775,90.18077000000002,72.19732000000005,1.478175,39.46502500000015,0.158968966759286,690.779386190346,140.7441073891132,0.0,50.39512906938423,8.049124394625473,53.22752493460575,489.5747102202397,0.0932889786169051,147.17372184788292,2.8264516749587565,0.7271262139458399,4722.075440565944,999.995860964758,940.6370873103116,857.0368529047453,176.271932574503,77.6217999278989,686.494220623108,0.4738550158097616,825.6980436467785,29.39345291958148,74,196,93228.1435534722,LC
Agaricus bernardii,28.0067,5.8983625,15.3251125,0.56105,1.628225,238.8334375,68.2504,61.5607875,1.3316375,45.201475,0.1781922789178039,1308.143193167556,202.4579614663462,0.0,60.80983266383429,4.686154944180379,45.312149346530425,492.9190918692584,0.1597265811245288,253.77555522482308,2.753649280926504,0.7330979104472599,5140.422337739169,999.0763815402388,920.4879726603248,894.9651274877883,84.0779382153555,80.9605153705972,734.3897293172294,0.6182401177455331,1093.7654000268385,31.324531387551268,62,204,179535.111156201,LC
Agaricus bisporus,58.354290625,5.04324375,12.846125,0.557884375,1.316928125,240.42540625,96.1439375,61.813859375,1.514515625,78.545675,0.1414943007064815,1060.6969310446812,208.92649852928048,0.0,80.75067856528015,7.99466410256494,52.77687483983651,479.0170478816513,0.0995171177414347,203.8245998262816,2.8489864837180434,0.7469111893446473,4870.829130423392,990.1516644679476,906.5432503865642,859.9967034355772,189.35165404922623,79.27266748633511,788.4621150332631,0.4489444018247035,1205.440089642149,30.98958323280747,67,248,154330.604864626,
Agaricus bitorquis,32.976343125,11.240172500000002,14.32376875,0.581009375,2.6554775,225.71794062499995,95.99141624999989,69.55417437499999,1.5714137499999994,50.019406874999945,0.1589211245195434,1184.1406941376313,248.50295069010025,0.0,149.39412797003865,7.925811582799956,45.30699843001069,515.4355602024647,0.0888689234471612,148.83603435729415,3.138674856007968,0.7696075754026487,5617.4424065243065,1000.0,984.3241603229334,916.8545630604336,159.5916488528185,80.44324543006344,704.329705278676,0.4902129230905696,1269.5048760767838,25.37278884308208,245,644,296110.73823377,
Agaricus bohusii,83.762625,32.154525,15.490625,0.985175,8.319225,148.46725,55.92615,23.063975,1.003370625,13.081875,0.2684871529632813,4806.250656613485,990.2678554003191,901.4766498377091,850.1448507219983,25.647264815876987,76.35729611869529,646.4608366388197,0.1479437870176803,86.22822819745758,8.998071276751602,0.5738405828573295,4917.444771031292,1000.0,923.8223807503018,917.3643137080828,62.97558277698757,78.76947421894809,663.0453097419363,0.2685393995974202,593.8142528494196,13.671109129763932,14,8,2.09168582329369,
Agaricus campestris,29.8970375,3.627646875,12.883340625,0.4849124999999999,0.923940625,244.84471875,97.874921875,81.8316625,1.6967875,60.878015625,0.1155973934223658,771.1588362584799,180.0778560628902,0.0,50.55279923973453,5.552956811428295,50.8278997944709,496.0,0.0909197198232851,139.08988737350714,3.26627827460328,0.7845102878139025,4947.309530060047,994.915871866395,909.2590094409384,892.9699668456334,196.4998277792789,78.90901750525799,780.4638235864745,0.5943133704597189,1119.7015548027457,38.95201635535174,1127,2968,277111.570029913,LC
Agaricus comtulus,35.456916875,5.994978125,16.102551875,0.4915125,1.26400375,239.381425,120.13000125000006,70.49947250000004,1.669845625,56.96171250000005,0.1561032249194705,663.6020067427879,165.0679679268141,0.0,52.45747717413286,6.474257335180757,53.33438860349787,499.2113384471563,0.0822911625387704,185.9264564915998,4.3582462422241885,0.8136895852729397,4430.343613134761,988.5037670487528,900.0,833.5749121478789,193.70731679630603,77.81592577621178,733.9653791261189,0.6268014852817279,1129.619233228945,39.31203177268578,119,396,194392.215807746,LC
Agaricus cupreobrunneus,52.37026,5.694335,12.769855,0.5391475,1.173655,239.6367625,85.31832750000001,110.404695,1.176045,35.71523500000004,0.1940380199454278,891.2458161345971,270.05819382877786,0.0,42.91147984521523,5.175148870808613,63.98018559838933,496.3695274006449,0.096993577648669,216.44090532152185,4.648517762988903,0.713827171841014,4668.395740687339,897.3696974239409,896.6550213810003,831.2952617709909,95.8881833755498,78.52800089789781,774.0171842410066,0.5384786373592858,940.294136949781,29.293095142318865,30,88,57823.4917820273,NT
Agaricus impudicus,30.20083125,10.2803375,11.9863625,0.479825,2.2018375,230.8950625,121.3425,112.18488125,1.030325,44.1913375,0.0686739820098499,1253.2638581600631,265.67618430935755,0.0,63.94395083420844,6.037308604113009,63.94787179744175,460.24842774805023,0.0744373504391423,184.61736367290007,2.161519377879725,0.6879826919426647,4509.1777382364735,865.0102306020394,862.7403800813726,824.1192588596859,101.14782177622126,80.958263205513,693.933796746656,0.6143288217276829,886.3106076553323,35.12141922437294,13,44,43750.4081915286,LC
